,,,,,,,,,,,,,,,,,
"FIPS
Code",,County,State,,Population¹,,"Number
of
Divorces²,3",,"Crude
Divorce
Rate4",,"Married
Men5",,Married Women6,,Total Married7,,"Adjusted
Divorce
Rate8"
,,,,,,,,,,,,,,,,,
2013,,Aleutians East ,AK,,"2,697",,2,,0.7,,"1,104",,465,,784.5,,2.5
2016,,Aleutians West ,AK,,"5,465",,11,,2.0,,"1,624",,945,,"1,284.5",,8.6
2020,,Anchorage ,AK,,"260,283",,"1,301",,5.0,,"55,123",,"54,837",,"54,980.0",,23.7
2050,,Bethel ,AK,,"16,006",,19,,1.2,,"2,583",,"2,494",,"2,538.5",,7.5
2060,,Bristol Bay ,AK,,"1,258",,2,,1.6,,274,,248,,261.0,,7.7
2068,,Denali ,AK,,"1,893",,6,,3.2,,472,,397,,434.5,,13.8
2070,,Dillingham ,AK,,"4,922",,9,,1.8,,853,,870,,861.5,,10.4
2090,,Fairbanks North Star,AK,,"82,840",,397,,4.8,,"18,426",,"18,117",,"18,271.5",,21.7
2100,,Haines ,AK,,"2,392",,8,,3.3,,549,,560,,554.5,,14.4
2110,,Juneau ,AK,,"30,711",,148,,4.8,,"6,649",,"6,564",,"6,606.5",,22.4
2122,,Kenai Peninsula ,AK,,"49,691",,221,,4.4,,"11,519",,"11,201",,"11,360.0",,19.5
2130,,Ketchikan Gateway ,AK,,"14,070",,78,,5.5,,"3,085",,"3,037",,"3,061.0",,25.5
2150,,Kodiak Island ,AK,,"13,913",,61,,4.4,,"3,247",,"3,008",,"3,127.5",,19.5
2164,,Lake and Peninsula ,AK,,"1,823",,3,,1.6,,318,,304,,311.0,,9.6
2170,,Matanuska-Susitna ,AK,,"59,322",,284,,4.8,,"13,516",,"13,131",,"13,323.5",,21.3
2180,,Nome ,AK,,"9,196",,25,,2.7,,"1,375",,"1,286",,"1,330.5",,18.8
2185,,North Slope ,AK,,"7,385",,17,,2.3,,"1,174",,"1,100",,"1,137.0",,15.0
2188,,Northwest Arctic ,AK,,"7,208",,15,,2.1,,"1,076",,980,,"1,028.0",,14.6
2201,,Prince of Wales-OuterKetchikan,AK,,"6,146",,19,,3.1,,"1,380",,"1,267",,"1,323.5",,14.4
2220,,Sitka ,AK,,"8,835",,43,,4.9,,"1,983",,"1,992",,"1,987.5",,21.6
