Geographic Area,Pop_2000,State
.Autauga County,"44,889",Alabama
.Baldwin County,"144,875",Alabama
.Barbour County,"28,863",Alabama
.Bibb County,"21,028",Alabama
.Blount County,"51,845",Alabama
.Bullock County,"11,358",Alabama
.Butler County,"21,139",Alabama
.Calhoun County,"111,266",Alabama
.Chambers County,"36,274",Alabama
.Cherokee County,"24,182",Alabama
.Chilton County,"40,197",Alabama
.Choctaw County,"15,677",Alabama
.Clarke County,"27,624",Alabama
.Clay County,"14,298",Alabama
.Cleburne County,"14,222",Alabama
.Coffee County,"43,716",Alabama
.Colbert County,"54,793",Alabama
.Conecuh County,"13,940",Alabama
.Coosa County,"11,848",Alabama
.Covington County,"37,069",Alabama
.Crenshaw County,"13,724",Alabama
.Cullman County,"77,415",Alabama
.Dale County,"49,254",Alabama
.Dallas County,"46,132",Alabama
.DeKalb County,"65,678",Alabama
.Elmore County,"67,459",Alabama
.Escambia County,"38,197",Alabama
.Etowah County,"102,976",Alabama
.Fayette County,"18,384",Alabama
.Franklin County,"31,190",Alabama
.Geneva County,"25,565",Alabama
.Greene County,"9,866",Alabama
.Hale County,"17,868",Alabama
.Henry County,"16,358",Alabama
.Houston County,"89,490",Alabama
.Jackson County,"53,997",Alabama
.Jefferson County,"660,197",Alabama
.Lamar County,"15,632",Alabama
.Lauderdale County,"87,791",Alabama
.Lawrence County,"34,870",Alabama
.Lee County,"116,819",Alabama
.Limestone County,"66,936",Alabama
.Lowndes County,"13,329",Alabama
.Macon County,"23,925",Alabama
.Madison County,"281,517",Alabama
.Marengo County,"22,203",Alabama
.Marion County,"30,777",Alabama
.Marshall County,"82,477",Alabama
.Mobile County,"400,129",Alabama
.Monroe County,"24,120",Alabama
.Montgomery County,"223,048",Alabama
.Morgan County,"111,682",Alabama
.Perry County,"11,645",Alabama
.Pickens County,"20,873",Alabama
.Pike County,"29,844",Alabama
.Randolph County,"22,465",Alabama
.Russell County,"49,622",Alabama
.St. Clair County,"66,093",Alabama
.Shelby County,"149,358",Alabama
.Sumter County,"14,630",Alabama
.Talladega County,"80,939",Alabama
.Tallapoosa County,"41,406",Alabama
.Tuscaloosa County,"166,951",Alabama
.Walker County,"70,364",Alabama
.Washington County,"17,933",Alabama
.Wilcox County,"12,806",Alabama
.Winston County,"24,597",Alabama
.Aleutians East Borough,"2,590",Alaska
.Aleutians West Census Area,"5,501",Alaska
.Anchorage Municipality,"264,274",Alaska
.Bethel Census Area,"16,171",Alaska
.Bristol Bay Borough,"1,196",Alaska
.Denali Borough,"1,850",Alaska
.Dillingham Census Area,"4,840",Alaska
.Fairbanks North Star Borough,"84,814",Alaska
.Haines Borough,"2,334",Alaska
.Hoonah-Angoon Census Area,"2,538",Alaska
.Juneau City and Borough,"30,502",Alaska
.Kenai Peninsula Borough,"49,986",Alaska
.Ketchikan Gateway Borough,"13,796",Alaska
.Kodiak Island Borough,"13,748",Alaska
.Lake and Peninsula Borough,"1,715",Alaska
.Matanuska-Susitna Borough,"61,807",Alaska
.Nome Census Area,"9,167",Alaska
.North Slope Borough,"7,530",Alaska
.Northwest Arctic Borough,"7,251",Alaska
.Petersburg Census Area,"4,198",Alaska
.Prince of Wales-Hyder Census Area,"5,887",Alaska
.Sitka City and Borough,"8,727",Alaska
.Skagway Municipality,868,Alaska
.Southeast Fairbanks Census Area,"5,705",Alaska
.Valdez-Cordova Census Area,"10,114",Alaska
.Wade Hampton Census Area,"7,051",Alaska
.Wrangell City and Borough,"2,426",Alaska
.Yakutat City and Borough,764,Alaska
.Yukon-Koyukuk Census Area,"6,364",Alaska
.Apache County,"67,863",Arizona
.Cochise County,"118,798",Arizona
.Coconino County,"118,283",Arizona
.Gila County,"51,274",Arizona
.Graham County,"33,356",Arizona
.Greenlee County,"8,349",Arizona
.La Paz County,"19,580",Arizona
.Maricopa County,"3,175,989",Arizona
.Mohave County,"160,312",Arizona
.Navajo County,"97,849",Arizona
.Pima County,"859,280",Arizona
.Pinal County,"187,747",Arizona
.Santa Cruz County,"39,288",Arizona
.Yavapai County,"172,636",Arizona
.Yuma County,"162,873",Arizona
.Arkansas County,"20,593",Arkansas
.Ashley County,"23,824",Arkansas
.Baxter County,"38,331",Arkansas
.Benton County,"159,258",Arkansas
.Boone County,"34,258",Arkansas
.Bradley County,"12,427",Arkansas
.Calhoun County,"5,599",Arkansas
.Carroll County,"25,559",Arkansas
.Chicot County,"13,758",Arkansas
.Clark County,"23,516",Arkansas
.Clay County,"17,307",Arkansas
.Cleburne County,"24,204",Arkansas
.Cleveland County,"8,637",Arkansas
.Columbia County,"25,424",Arkansas
.Conway County,"20,362",Arkansas
.Craighead County,"83,276",Arkansas
.Crawford County,"54,273",Arkansas
.Crittenden County,"50,919",Arkansas
.Cross County,"19,382",Arkansas
.Dallas County,"9,005",Arkansas
.Desha County,"14,958",Arkansas
.Drew County,"18,660",Arkansas
.Faulkner County,"88,830",Arkansas
.Franklin County,"17,830",Arkansas
.Fulton County,"11,676",Arkansas
.Garland County,"89,032",Arkansas
.Grant County,"16,608",Arkansas
.Greene County,"37,934",Arkansas
.Hempstead County,"23,318",Arkansas
.Hot Spring County,"30,615",Arkansas
.Howard County,"14,146",Arkansas
.Independence County,"34,374",Arkansas
.Izard County,"13,289",Arkansas
.Jackson County,"18,029",Arkansas
.Jefferson County,"83,322",Arkansas
.Johnson County,"22,977",Arkansas
.Lafayette County,"8,374",Arkansas
.Lawrence County,"17,749",Arkansas
.Lee County,"12,358",Arkansas
.Lincoln County,"14,505",Arkansas
.Little River County,"13,334",Arkansas
.Logan County,"22,385",Arkansas
.Lonoke County,"54,043",Arkansas
.Madison County,"14,253",Arkansas
.Marion County,"16,232",Arkansas
.Miller County,"40,606",Arkansas
.Mississippi County,"51,017",Arkansas
.Monroe County,"9,947",Arkansas
.Montgomery County,"9,221",Arkansas
.Nevada County,"9,774",Arkansas
.Newton County,"8,534",Arkansas
.Ouachita County,"28,088",Arkansas
.Perry County,"10,306",Arkansas
.Phillips County,"25,821",Arkansas
.Pike County,"11,306",Arkansas
.Poinsett County,"25,498",Arkansas
.Polk County,"20,189",Arkansas
.Pope County,"54,986",Arkansas
.Prairie County,"9,505",Arkansas
.Pulaski County,"362,866",Arkansas
.Randolph County,"18,177",Arkansas
.St. Francis County,"29,072",Arkansas
.Saline County,"85,473",Arkansas
.Scott County,"10,950",Arkansas
.Searcy County,"8,220",Arkansas
.Sebastian County,"116,488",Arkansas
.Sevier County,"15,586",Arkansas
.Sharp County,"17,244",Arkansas
.Stone County,"11,484",Arkansas
.Union County,"44,894",Arkansas
.Van Buren County,"16,332",Arkansas
.Washington County,"163,151",Arkansas
.White County,"68,273",Arkansas
.Woodruff County,"8,675",Arkansas
.Yell County,"21,145",Arkansas
.Alameda County,"1,469,484",California
.Alpine County,"1,196",California
.Amador County,"35,697",California
.Butte County,"206,193",California
.Calaveras County,"41,304",California
.Colusa County,"19,022",California
.Contra Costa County,"970,952",California
.Del Norte County,"27,292",California
.El Dorado County,"161,101",California
.Fresno County,"813,021",California
.Glenn County,"26,450",California
.Humboldt County,"127,520",California
.Imperial County,"143,707",California
.Inyo County,"18,117",California
.Kern County,"676,574",California
.Kings County,"132,881",California
.Lake County,"60,219",California
.Lassen County,"33,548",California
.Los Angeles County,"9,626,034",California
.Madera County,"125,581",California
.Marin County,"247,866",California
.Mariposa County,"17,099",California
.Mendocino County,"86,841",California
.Merced County,"218,816",California
.Modoc County,"9,350",California
.Mono County,"13,224",California
.Monterey County,"407,082",California
.Napa County,"126,818",California
.Nevada County,"93,715",California
.Orange County,"2,885,457",California
.Placer County,"263,615",California
.Plumas County,"20,820",California
.Riverside County,"1,616,634",California
.Sacramento County,"1,266,257",California
.San Benito County,"54,644",California
.San Bernardino County,"1,760,731",California
.San Diego County,"2,869,672",California
.San Francisco County,"780,865",California
.San Joaquin County,"591,207",California
.San Luis Obispo County,"251,462",California
.San Mateo County,"705,621",California
.Santa Barbara County,"403,164",California
.Santa Clara County,"1,688,082",California
.Santa Cruz County,"256,045",California
.Shasta County,"166,408",California
.Sierra County,"3,518",California
.Siskiyou County,"43,908",California
.Solano County,"404,209",California
.Sonoma County,"465,293",California
.Stanislaus County,"463,761",California
.Sutter County,"80,138",California
.Tehama County,"56,685",California
.Trinity County,"12,859",California
.Tulare County,"373,171",California
.Tuolumne County,"55,253",California
.Ventura County,"766,689",California
.Yolo County,"175,337",California
.Yuba County,"61,249",California
.Adams County,"359,816",Colorado
.Alamosa County,"14,956",Colorado
.Arapahoe County,"502,393",Colorado
.Archuleta County,"10,454",Colorado
.Baca County,"4,471",Colorado
.Bent County,"5,841",Colorado
.Boulder County,"277,597",Colorado
.Broomfield County,"41,055",Colorado
.Chaffee County,"16,488",Colorado
.Cheyenne County,"2,179",Colorado
.Clear Creek County,"9,383",Colorado
.Conejos County,"8,350",Colorado
.Costilla County,"3,619",Colorado
.Crowley County,"5,614",Colorado
.Custer County,"3,664",Colorado
.Delta County,"28,069",Colorado
.Denver County,"561,976",Colorado
.Dolores County,"1,849",Colorado
.Douglas County,"196,783",Colorado
.Eagle County,"43,238",Colorado
.Elbert County,"21,094",Colorado
.El Paso County,"535,864",Colorado
.Fremont County,"46,633",Colorado
.Garfield County,"45,636",Colorado
.Gilpin County,"4,781",Colorado
.Grand County,"12,743",Colorado
.Gunnison County,"14,206",Colorado
.Hinsdale County,817,Colorado
.Huerfano County,"7,635",Colorado
.Jackson County,"1,529",Colorado
.Jefferson County,"528,845",Colorado
.Kiowa County,"1,550",Colorado
.Kit Carson County,"7,995",Colorado
.Lake County,"7,758",Colorado
.La Plata County,"45,044",Colorado
.Larimer County,"260,541",Colorado
.Las Animas County,"15,116",Colorado
.Lincoln County,"5,912",Colorado
.Logan County,"21,459",Colorado
.Mesa County,"119,496",Colorado
.Mineral County,796,Colorado
.Moffat County,"13,065",Colorado
.Montezuma County,"23,692",Colorado
.Montrose County,"34,361",Colorado
.Morgan County,"27,307",Colorado
.Otero County,"20,012",Colorado
.Ouray County,"3,787",Colorado
.Park County,"15,255",Colorado
.Phillips County,"4,456",Colorado
.Pitkin County,"15,013",Colorado
.Prowers County,"14,182",Colorado
.Pueblo County,"144,014",Colorado
.Rio Blanco County,"5,868",Colorado
.Rio Grande County,"12,213",Colorado
.Routt County,"20,210",Colorado
.Saguache County,"6,024",Colorado
.San Juan County,581,Colorado
.San Miguel County,"6,858",Colorado
.Sedgwick County,"2,661",Colorado
.Summit County,"24,716",Colorado
.Teller County,"21,193",Colorado
.Washington County,"4,874",Colorado
.Weld County,"192,278",Colorado
.Yuma County,"9,822",Colorado
.Fairfield County,"889,063",Connecticut
.Hartford County,"862,573",Connecticut
.Litchfield County,"184,118",Connecticut
.Middlesex County,"157,006",Connecticut
.New Haven County,"829,875",Connecticut
.New London County,"261,396",Connecticut
.Tolland County,"138,934",Connecticut
.Windham County,"109,870",Connecticut
.Kent County,"129,228",Delaware
.New Castle County,"506,026",Delaware
.Sussex County,"160,445",Delaware
.District of Columbia,"574,504",District of Columbia
.Alachua County,"221,718",Florida
.Baker County,"22,620",Florida
.Bay County,"150,207",Florida
.Bradford County,"26,083",Florida
.Brevard County,"486,429",Florida
.Broward County,"1,662,848",Florida
.Calhoun County,"12,847",Florida
.Charlotte County,"146,311",Florida
.Citrus County,"121,197",Florida
.Clay County,"145,685",Florida
.Collier County,"264,240",Florida
.Columbia County,"57,040",Florida
.DeSoto County,"32,402",Florida
.Dixie County,"14,033",Florida
.Duval County,"790,681",Florida
.Escambia County,"297,776",Florida
.Flagler County,"53,944",Florida
.Franklin County,"9,910",Florida
.Gadsden County,"45,153",Florida
.Gilchrist County,"14,283",Florida
.Glades County,"10,948",Florida
.Gulf County,"14,868",Florida
.Hamilton County,"13,733",Florida
.Hardee County,"26,378",Florida
.Hendry County,"36,029",Florida
.Hernando County,"134,127",Florida
.Highlands County,"88,510",Florida
.Hillsborough County,"1,028,385",Florida
.Holmes County,"18,757",Florida
.Indian River County,"115,456",Florida
.Jackson County,"46,242",Florida
.Jefferson County,"12,871",Florida
.Lafayette County,"7,153",Florida
.Lake County,"222,297",Florida
.Lee County,"461,037",Florida
.Leon County,"242,583",Florida
.Levy County,"35,118",Florida
.Liberty County,"7,049",Florida
.Madison County,"18,859",Florida
.Manatee County,"272,281",Florida
.Marion County,"264,553",Florida
.Martin County,"129,856",Florida
.Miami-Dade County,"2,287,458",Florida
.Monroe County,"79,038",Florida
.Nassau County,"59,300",Florida
.Okaloosa County,"172,564",Florida
.Okeechobee County,"36,298",Florida
.Orange County,"931,775",Florida
.Osceola County,"181,694",Florida
.Palm Beach County,"1,160,474",Florida
.Pasco County,"357,653",Florida
.Pinellas County,"923,850",Florida
.Polk County,"492,917",Florida
.Putnam County,"70,585",Florida
.St. Johns County,"129,805",Florida
.St. Lucie County,"198,459",Florida
.Santa Rosa County,"121,261",Florida
.Sarasota County,"333,707",Florida
.Seminole County,"374,593",Florida
.Sumter County,"55,793",Florida
.Suwannee County,"35,679",Florida
.Taylor County,"19,379",Florida
.Union County,"13,598",Florida
.Volusia County,"451,103",Florida
.Wakulla County,"23,779",Florida
.Walton County,"42,391",Florida
.Washington County,"21,316",Florida
.Appling County,"17,455",Georgia
.Atkinson County,"7,641",Georgia
.Bacon County,"10,133",Georgia
.Baker County,"4,005",Georgia
.Baldwin County,"44,764",Georgia
.Banks County,"15,025",Georgia
.Barrow County,"48,171",Georgia
.Bartow County,"79,984",Georgia
.Ben Hill County,"17,315",Georgia
.Berrien County,"16,392",Georgia
.Bibb County,"153,548",Georgia
.Bleckley County,"11,781",Georgia
.Brantley County,"15,093",Georgia
.Brooks County,"16,307",Georgia
.Bryan County,"23,867",Georgia
.Bulloch County,"56,808",Georgia
.Burke County,"22,582",Georgia
.Butts County,"20,186",Georgia
.Calhoun County,"6,271",Georgia
.Camden County,"44,469",Georgia
.Candler County,"9,442",Georgia
.Carroll County,"91,132",Georgia
.Catoosa County,"54,638",Georgia
.Charlton County,"10,675",Georgia
.Chatham County,"234,150",Georgia
.Chattahoochee County,"15,780",Georgia
.Chattooga County,"25,675",Georgia
.Cherokee County,"151,189",Georgia
