Fips Code,Year,Days with > 0.1 inch of Precipitation,Extreme maximum precipitation,Days with snow depth > 1 inch
01001,2001,67,3.6,0
01001,2011,91,3.6,0
01001,2011,91,2.45,0
01003,2001,115,2.45,0
01003,2001,115,3.89,0
01003,2001,115,3.89,0
01003,2011,110,3.89,0
01003,2011,110,3.14,0
01005,2001,100,3.14,0
01005,2001,100,7.74,0
01005,2001,100,7.74,1
01007,2001,109,7.74,1
01007,2001,109,3.0,1
01007,2001,109,3.0,0
01007,2011,94,3.0,0
01007,2011,94,4.85,0
01009,2001,94,4.85,0
01009,2011,104,4.85,0
01009,2011,104,10.36,0
01011,2001,71,10.36,0
01011,2001,71,4.75,0
01011,2001,71,4.75,0
01011,2011,81,4.75,0
01011,2011,81,4.25,0
01013,2001,89,4.25,0
01013,2001,89,4.81,0
01013,2001,89,4.81,0
01013,2011,118,4.81,0
01013,2011,118,2.82,0
01015,2001,112,2.82,0
01015,2001,112,2.88,0
01015,2011,96,2.88,0
01015,2011,96,3.56,0
01017,2001,106,3.56,0
01017,2001,106,2.46,0
01017,2001,106,2.46,0
01017,2011,45,2.46,0
01017,2011,45,6.11,0
01017,2011,45,6.11,0
01019,2011,106,6.11,0
01019,2011,106,4.83,0
01021,2001,67,4.83,0
01021,2001,67,3.6,0
01021,2001,67,3.6,0
01021,2011,91,3.6,0
01021,2011,91,2.45,0
01023,2001,61,2.45,0
01023,2001,61,4.0,0
01023,2001,61,4.0,0
01023,2011,83,4.0,0
01023,2011,83,3.84,0
01025,2001,92,3.84,0
01025,2001,92,3.75,0
01025,2001,92,3.75,0
01025,2011,83,3.75,0
01025,2011,83,3.84,0
01027,2001,114,3.84,0
01027,2001,114,4.67,0
01027,2001,114,4.67,1
01027,2011,97,4.67,1
01027,2011,97,2.41,1
01029,2001,130,2.41,1
01029,2001,130,3.09,1
01029,2001,130,3.09,1
01031,2001,97,3.09,1
01031,2001,97,3.48,1
01031,2001,97,3.48,0
01033,2001,131,3.48,0
01033,2001,131,3.12,0
01033,2011,114,3.12,0
01033,2011,114,4.52,0
01035,2001,115,4.52,0
01035,2001,115,3.93,0
01035,2001,115,3.93,0
01035,2011,93,3.93,0
01035,2011,93,2.66,0
01039,2001,95,2.66,0
01039,2001,95,4.4,0
01039,2001,95,4.4,0
01039,2011,74,4.4,0
01039,2011,74,2.92,0
01041,2001,95,2.92,0
01041,2001,95,2.53,0
01041,2001,95,2.53,0
01041,2011,94,2.53,0
01041,2011,94,3.19,0
01043,2001,120,3.19,0
01043,2001,120,3.37,0
01043,2001,120,3.37,0
01043,2011,108,3.37,0
01043,2011,108,7.24,0
01045,2011,102,7.24,0
01045,2011,102,2.23,0
