co_fips,county,state,divorces_2010,marriages_2010
1001,Autauga,AL,231,341
1003,Baldwin,AL,980,2716
1005,Barbour,AL,69,228
1007,Bibb,AL,53,273
1009,Blount,AL,258,421
1011,Bullock,AL,7,76
1013,Butler,AL,83,184
1015,Calhoun,AL,682,899
1017,Chambers,AL,137,253
1019,Cherokee,AL,151,191
1021,Chilton,AL,191,408
1023,Choctaw,AL,70,144
1025,Clarke,AL,106,148
1027,Clay,AL,56,155
1029,Cleburne,AL,123,191
1031,Coffee,AL,233,496
1033,Colbert,AL,283,520
1035,Conecuh,AL,42,83
1037,Coosa,AL,27,57
1039,Covington,AL,211,361
1041,Crenshaw,AL,62,110
1043,Cullman,AL,480,724
1045,Dale,AL,567,470
1047,Dallas,AL,164,260
1049,DeKalb,AL,287,520
1051,Elmore,AL,411,697
1053,Escambia,AL,166,493
1055,Etowah,AL,659,1059
1057,Fayette,AL,108,197
1059,Franklin,AL,175,248
1061,Geneva,AL,151,240
1063,Greene,AL,3,61
1065,Hale,AL,49,150
1067,Henry,AL,48,126
1069,Houston,AL,510,827
1071,Jackson,AL,252,629
1073,Jefferson,AL,2846,4766
1075,Lamar,AL,69,158
1077,Lauderdale,AL,427,683
1079,Lawrence,AL,163,250
1081,Lee,AL,457,796
1083,Limestone,AL,127,550
1085,Lowndes,AL,60,68
1087,Macon,AL,44,99
1089,Madison,AL,1307,2408
1091,Marengo,AL,96,132
1093,Marion,AL,107,694
1095,Marshall,AL,589,829
1097,Mobile,AL,1974,3874
1099,Monroe,AL,50,171
1101,Montgomery,AL,980,1483
1103,Morgan,AL,608,729
1105,Perry,AL,30,81
1107,Pickens,AL,50,306
1109,Pike,AL,142,236
1111,Randolph,AL,120,173
1113,Russell,AL,334,763
1115,St. Clair,AL,338,670
1117,Shelby,AL,690,941
1119,Sumter,AL,17,122
1121,Talladega,AL,444,652
1123,Tallapoosa,AL,182,298
1125,Tuscaloosa,AL,344,1015
1127,Walker,AL,320,585
1129,Washington,AL,102,618
1131,Wilcox,AL,25,69
1133,Winston,AL,111,207
2013,Aleutians East Borough,AK,3,
2016,Aleutians West Census Area,AK,9,12
2020,Anchorage Municipality,AK,1280,2445
2050,Bethel Census Area,AK,28,77
2060,Bristol Bay Borough,AK,4,4
2068,Denali Borough,AK,6,29
2070,Dillingham Census Area,AK,7,36
2090,Fairbanks North Star Borough,AK,539,992
2100,Haines Borough,AK,10,15
2105,Hoonah-Angoon Census Area,AK,,
2110,Juneau City and Borough,AK,107,275
2122,Kenai Peninsula Borough,AK,220,484
2130,Ketchikan Gateway Borough,AK,54,101
2150,Kodiak Island Borough,AK,43,73
2164,Lake and Peninsula Borough,AK,2,5
2170,Matanuska-Susitna Borough,AK,364,692
2180,Nome Census Area,AK,11,48
2185,North Slope Borough,AK,11,33
2188,Northwest Arctic Borough,AK,9,32
2195,Petersburg Census Area,AK,,
2198,Prince of Wales-Hyder Census Area,AK,,
2220,Sitka City and Borough,AK,28,62
2230,Skagway Municipality,AK,,
2240,Southeast Fairbanks Census Area,AK,20,50
2261,Valdez-Cordova Census Area,AK,36,73
2270,Wade Hampton Census Area,AK,6,23
2275,Wrangell City and Borough,AK,,
2282,Yakutat City and Borough,AK,2,1
2290,Yukon-Koyukuk Census Area,AK,5,27
4001,Apache,AZ,72,219
4003,Cochise,AZ,645,956
4005,Coconino,AZ,527,915
4007,Gila,AZ,208,317
4009,Graham,AZ,191,286
4011,Greenlee,AZ,45,33
4012,La Paz,AZ,43,135
4013,Maricopa,AZ,13215,23127
4015,Mohave,AZ,519,1304
4017,Navajo,AZ,163,579
4019,Pima,AZ,3988,5972
4021,Pinal,AZ,1103,1373
4023,Santa Cruz,AZ,132,314
4025,Yavapai,AZ,905,1237
4027,Yuma,AZ,723,1309
5001,Arkansas,AR,123,158
5003,Ashley,AR,144,356
5005,Baxter,AR,214,356
5007,Benton,AR,1215,1720
5009,Boone,AR,237,473
5011,Bradley,AR,56,77
5013,Calhoun,AR,46,24
5015,Carroll,AR,149,3478
5017,Chicot,AR,72,599
5019,Clark,AR,113,186
5021,Clay,AR,117,305
5023,Cleburne,AR,164,222
5025,Cleveland,AR,31,51
5027,Columbia,AR,155,218
5029,Conway,AR,138,260
5031,Craighead,AR,644,787
5033,Crawford,AR,398,599
5035,Crittenden,AR,244,1039
5037,Cross,AR,124,149
5039,Dallas,AR,38,62
5041,Desha,AR,64,97
5043,Drew,AR,100,173
5045,Faulkner,AR,684,817
5047,Franklin,AR,115,165
5049,Fulton,AR,88,106
5051,Garland,AR,610,1721
5053,Grant,AR,121,112
5055,Greene,AR,313,452
5057,Hempstead,AR,110,192
5059,Hot Spring,AR,208,260
5061,Howard,AR,74,111
5063,Independence,AR,251,331
5065,Izard,AR,99,108
5067,Jackson,AR,108,152
5069,Jefferson,AR,382,606
5071,Johnson,AR,166,214
5073,Lafayette,AR,34,55
5075,Lawrence,AR,120,159
5077,Lee,AR,36,60
5079,Lincoln,AR,69,111
5081,Little River,AR,104,128
5083,Logan,AR,126,237
5085,Lonoke,AR,432,420
5087,Madison,AR,100,114
5089,Marion,AR,84,112
5091,Miller,AR,259,660
5093,Mississippi,AR,302,440
5095,Monroe,AR,34,58
5097,Montgomery,AR,55,70
5099,Nevada,AR,63,70
5101,Newton,AR,43,137
5103,Ouachita,AR,118,206
5105,Perry,AR,77,86
5107,Phillips,AR,135,466
5109,Pike,AR,92,95
5111,Poinsett,AR,167,219
5113,Polk,AR,162,251
5115,Pope,AR,423,517
5117,Prairie,AR,54,70
5119,Pulaski,AR,1805,3145
5121,Randolph,AR,101,192
5123,St. Francis,AR,105,190
5125,Saline,AR,711,646
5127,Scott,AR,70,74
5129,Searcy,AR,44,84
5131,Sebastian,AR,865,1691
5133,Sevier,AR,90,281
5135,Sharp,AR,121,167
5137,Stone,AR,69,129
5139,Union,AR,296,419
5141,Van Buren,AR,117,141
5143,Washington,AR,1007,1776
5145,White,AR,372,734
5147,Woodruff,AR,37,37
5149,Yell,AR,103,256
6001,Alameda,CA,5273,6538
6003,Alpine,CA,10,26
6005,Amador,CA,171,190
6007,Butte,CA,1102,1062
6009,Calaveras,CA,219,164
6011,Colusa,CA,69,114
6013,Contra Costa,CA,3928,4000
6015,Del Norte,CA,182,166
6017,El Dorado,CA,842,3744
6019,Fresno,CA,3929,5795
6021,Glenn,CA,140,163
6023,Humboldt,CA,548,778
6025,Imperial,CA,718,1199
6027,Inyo,CA,98,122
6029,Kern,CA,3559,4141
6031,Kings,CA,704,1119
6033,Lake,CA,332,290
6035,Lassen,CA,194,153
6037,Los Angeles,CA,37761,53644
6039,Madera,CA,571,707
6041,Marin,CA,1039,1393
6043,Mariposa,CA,68,210
6045,Mendocino,CA,478,525
6047,Merced,CA,1103,1298
6049,Modoc,CA,63,55
6051,Mono,CA,45,121
6053,Monterey,CA,1333,2684
6055,Napa,CA,641,1532
6057,Nevada,CA,446,460
6059,Orange,CA,11820,20212
6061,Placer,CA,1651,1982
6063,Plumas,CA,113,92
6065,Riverside,CA,10024,10840
6067,Sacramento,CA,5842,7890
6069,San Benito,CA,234,359
6071,San Bernardino,CA,9882,9283
6073,San Diego,CA,14968,24720
6075,San Francisco,CA,2978,8936
6077,San Joaquin,CA,2692,2958
6079,San Luis Obispo,CA,1168,1733
6081,San Mateo,CA,2614,3456
6083,Santa Barbara,CA,1445,3193
6085,Santa Clara,CA,6338,8852
6087,Santa Cruz,CA,1000,1485
6089,Shasta,CA,1109,1142
6091,Sierra,CA,15,18
6093,Siskiyou,CA,177,259
6095,Solano,CA,2018,1721
6097,Sonoma,CA,2177,2785
6099,Stanislaus,CA,2699,2627
6101,Sutter,CA,506,636
6103,Tehama,CA,338,393
6105,Trinity,CA,97,59
6107,Tulare,CA,1926,1925
6109,Tuolumne,CA,264,388
6111,Ventura,CA,3502,4476
6113,Yolo,CA,688,706
6115,Yuba,CA,428,348
8001,Adams,CO,1772,2038
8003,Alamosa,CO,87,139
8005,Arapahoe,CO,2255,3141
8007,Archuleta,CO,51,87
8009,Baca,CO,15,22
8011,Bent,CO,30,26
8013,Boulder,CO,1145,1996
8014,Broomfield,CO,226,477
8015,Chaffee,CO,57,126
8017,Cheyenne,CO,7,19
8019,Clear Creek,CO,14,61
8021,Conejos,CO,23,22
8023,Costilla,CO,8,11
8025,Crowley,CO,9,19
8027,Custer,CO,23,28
8029,Delta,CO,189,217
8031,Denver,CO,2367,4853
8033,Dolores,CO,4,15
8035,Douglas,CO,1143,1186
8037,Eagle,CO,122,538
8039,Elbert,CO,103,74
8041,El Paso,CO,3472,5761
8043,Fremont,CO,252,283
8045,Garfield,CO,278,428
8047,Gilpin,CO,17,63
8049,Grand,CO,43,125
8051,Gunnison,CO,53,154
8053,Hinsdale,CO,4,11
