FIPS Code,County,State,Population,Number_of_Divorces,Crude_Divorce_Rate,Married_Men,Married_Women,Total_Married,Adjusted_Divorce_Rate
2013,Aleutians East ,AK,"2,697",2,0.7,"1,104",465,785,2.5
2016,Aleutians West ,AK,"5,465",11,2,"1,624",945,1285,8.6
2020,Anchorage ,AK,"260,283","1,301",5,"55,123","54,837",54980,23.7
2050,Bethel ,AK,"16,006",19,1.2,"2,583","2,494",2539,7.5
2060,Bristol Bay ,AK,"1,258",2,1.6,274,248,261,7.7
2068,Denali ,AK,"1,893",6,3.2,472,397,435,13.8
2070,Dillingham ,AK,"4,922",9,1.8,853,870,862,10.4
2090,Fairbanks North Star,AK,"82,840",397,4.8,"18,426","18,117",18272,21.7
2100,Haines ,AK,"2,392",8,3.3,549,560,555,14.4
2110,Juneau ,AK,"30,711",148,4.8,"6,649","6,564",6607,22.4
2122,Kenai Peninsula ,AK,"49,691",221,4.4,"11,519","11,201",11360,19.5
2130,Ketchikan Gateway ,AK,"14,070",78,5.5,"3,085","3,037",3061,25.5
2150,Kodiak Island ,AK,"13,913",61,4.4,"3,247","3,008",3128,19.5
2164,Lake and Peninsula ,AK,"1,823",3,1.6,318,304,311,9.6
2170,Matanuska-Susitna ,AK,"59,322",284,4.8,"13,516","13,131",13324,21.3
2180,Nome ,AK,"9,196",25,2.7,"1,375","1,286",1331,18.8
2185,North Slope ,AK,"7,385",17,2.3,"1,174","1,100",1137,15
2188,Northwest Arctic ,AK,"7,208",15,2.1,"1,076",980,1028,14.6
2201,Prince of Wales-OuterKetchikan,AK,"6,146",19,3.1,"1,380","1,267",1324,14.4
2220,Sitka ,AK,"8,835",43,4.9,"1,983","1,992",1988,21.6
2231,Skagway-Hoonah-Angoon,AK,"3,436",9,2.6,738,719,729,12.4
2240,Southeast Fairbanks,AK,"6,174",20,3.2,"1,326","1,413",1370,14.6
2261,Valdez-Cordova ,AK,"10,195",49,4.8,"2,303","2,197",2250,21.8
2270,Wade Hampton ,AK,"7,028",8,1.1,897,910,904,8.9
2280,Wrangell-Petersburg,AK,"6,684",32,4.8,"1,532","1,516",1524,21
2282,Yakutat ,AK,808,2,2.5,177,119,148,13.5
2290,Yukon-Koyukuk ,AK,"6,551",11,1.7,"1,000",970,985,11.2
1001,Autauga ,AL,"43,671",228,5.2,"10,443","10,483",10463,21.8
1003,Baldwin ,AL,"140,415",816,5.8,"35,682","35,723",35703,22.9
1005,Barbour ,AL,"29,038",122,4.2,"6,419","5,845",6132,19.9
1007,Bibb ,AL,"20,826",117,5.6,"4,714","4,835",4775,24.5
1009,Blount ,AL,"51,024",16,0.3,"13,604","13,561",13583,1.2
1011,Bullock ,AL,"11,714",32,2.7,"1,957","1,680",1819,17.6
1013,Butler ,AL,"21,399",142,6.6,"4,521","4,664",4593,30.9
1015,Calhoun ,AL,"112,249",767,6.8,"26,291","26,507",26399,29.1
1017,Chambers ,AL,"36,583",240,6.6,"7,880","7,932",7906,30.4
1019,Cherokee ,AL,"23,988",176,7.3,"6,366","6,585",6476,27.2
