,co_fips,Population,Number_of_Divorces,Geographic Area,year
0,02013,"2,697",2,"Aleutians East, AK",2000
1,02016,"5,465",11,"Aleutians West, AK",2000
2,02020,"260,283","1,301","Anchorage, AK",2000
3,02050,"16,006",19,"Bethel, AK",2000
4,02060,"1,258",2,"Bristol Bay, AK",2000
5,02068,"1,893",6,"Denali, AK",2000
6,02070,"4,922",9,"Dillingham, AK",2000
7,02090,"82,840",397,"Fairbanks North Star, AK",2000
8,02100,"2,392",8,"Haines, AK",2000
9,02110,"30,711",148,"Juneau, AK",2000
10,02122,"49,691",221,"Kenai Peninsula, AK",2000
11,02130,"14,070",78,"Ketchikan Gateway, AK",2000
12,02150,"13,913",61,"Kodiak Island, AK",2000
13,02164,"1,823",3,"Lake and Peninsula, AK",2000
14,02170,"59,322",284,"Matanuska-Susitna, AK",2000
15,02180,"9,196",25,"Nome, AK",2000
16,02185,"7,385",17,"North Slope, AK",2000
17,02188,"7,208",15,"Northwest Arctic, AK",2000
18,02201,"6,146",19,"Prince of Wales-OuterKetchikan, AK",2000
19,02220,"8,835",43,"Sitka, AK",2000
20,02231,"3,436",9,"Skagway-Hoonah-Angoon, AK",2000
21,02240,"6,174",20,"Southeast Fairbanks, AK",2000
22,02261,"10,195",49,"Valdez-Cordova, AK",2000
23,02270,"7,028",8,"Kusilvak, AK",2000
24,02280,"6,684",32,"Wrangell-Petersburg, AK",2000
25,02282,808,2,"Yakutat, AK",2000
26,02290,"6,551",11,"Yukon-Koyukuk, AK",2000
27,01001,"43,671",228,"Autauga, AL",2000
28,01003,"140,415",816,"Baldwin, AL",2000
29,01005,"29,038",122,"Barbour, AL",2000
30,01007,"20,826",117,"Bibb, AL",2000
31,01009,"51,024",16,"Blount, AL",2000
32,01011,"11,714",32,"Bullock, AL",2000
33,01013,"21,399",142,"Butler, AL",2000
34,01015,"112,249",767,"Calhoun, AL",2000
35,01017,"36,583",240,"Chambers, AL",2000
36,01019,"23,988",176,"Cherokee, AL",2000
37,01021,"39,593",259,"Chilton, AL",2000
38,01023,"15,922",79,"Choctaw, AL",2000
39,01025,"27,867",135,"Clarke, AL",2000
