co_fips,divorces_2010,marriages_2010,Geographic Area,Census,year
01001,231.0,341.0,"Autauga, AL",54571,2010
01003,980.0,2716.0,"Baldwin, AL",182265,2010
01005,69.0,228.0,"Barbour, AL",27457,2010
01007,53.0,273.0,"Bibb, AL",22915,2010
01009,258.0,421.0,"Blount, AL",57322,2010
01011,7.0,76.0,"Bullock, AL",10914,2010
01013,83.0,184.0,"Butler, AL",20947,2010
01015,682.0,899.0,"Calhoun, AL",118572,2010
01017,137.0,253.0,"Chambers, AL",34215,2010
01019,151.0,191.0,"Cherokee, AL",25989,2010
01021,191.0,408.0,"Chilton, AL",43643,2010
01023,70.0,144.0,"Choctaw, AL",13859,2010
01025,106.0,148.0,"Clarke, AL",25833,2010
01027,56.0,155.0,"Clay, AL",13932,2010
01029,123.0,191.0,"Cleburne, AL",14972,2010
01031,233.0,496.0,"Coffee, AL",49948,2010
01033,283.0,520.0,"Colbert, AL",54428,2010
01035,42.0,83.0,"Conecuh, AL",13228,2010
01037,27.0,57.0,"Coosa, AL",11539,2010
01039,211.0,361.0,"Covington, AL",37765,2010
01041,62.0,110.0,"Crenshaw, AL",13906,2010
01043,480.0,724.0,"Cullman, AL",80406,2010
01045,567.0,470.0,"Dale, AL",50251,2010
01047,164.0,260.0,"Dallas, AL",43820,2010
01049,287.0,520.0,"DeKalb, AL",71109,2010
01051,411.0,697.0,"Elmore, AL",79303,2010
01053,166.0,493.0,"Escambia, AL",38319,2010
01055,659.0,1059.0,"Etowah, AL",104430,2010
01057,108.0,197.0,"Fayette, AL",17241,2010
01059,175.0,248.0,"Franklin, AL",31704,2010
01061,151.0,240.0,"Geneva, AL",26790,2010
01063,3.0,61.0,"Greene, AL",9045,2010
01065,49.0,150.0,"Hale, AL",15760,2010
01067,48.0,126.0,"Henry, AL",17302,2010
01069,510.0,827.0,"Houston, AL",101547,2010
01071,252.0,629.0,"Jackson, AL",53227,2010
01073,2846.0,4766.0,"Jefferson, AL",658466,2010
01075,69.0,158.0,"Lamar, AL",14564,2010
01077,427.0,683.0,"Lauderdale, AL",92709,2010
01079,163.0,250.0,"Lawrence, AL",34339,2010
01081,457.0,796.0,"Lee, AL",140247,2010
01083,127.0,550.0,"Limestone, AL",82782,2010
01085,60.0,68.0,"Lowndes, AL",11299,2010
01087,44.0,99.0,"Macon, AL",21452,2010
01089,1307.0,2408.0,"Madison, AL",334811,2010
01091,96.0,132.0,"Marengo, AL",21027,2010
01093,107.0,694.0,"Marion, AL",30776,2010
01095,589.0,829.0,"Marshall, AL",93019,2010
01097,1974.0,3874.0,"Mobile, AL",412992,2010
01099,50.0,171.0,"Monroe, AL",23068,2010
01101,980.0,1483.0,"Montgomery, AL",229363,2010
01103,608.0,729.0,"Morgan, AL",119490,2010
01105,30.0,81.0,"Perry, AL",10591,2010
01107,50.0,306.0,"Pickens, AL",19746,2010
01109,142.0,236.0,"Pike, AL",32899,2010
01111,120.0,173.0,"Randolph, AL",22913,2010
01113,334.0,763.0,"Russell, AL",52947,2010
01115,338.0,670.0,"St Clair, AL",83593,2010
01117,690.0,941.0,"Shelby, AL",195085,2010
01119,17.0,122.0,"Sumter, AL",13763,2010
01121,444.0,652.0,"Talladega, AL",82291,2010
01123,182.0,298.0,"Tallapoosa, AL",41616,2010
01125,344.0,1015.0,"Tuscaloosa, AL",194656,2010
01127,320.0,585.0,"Walker, AL",67023,2010
01129,102.0,618.0,"Washington, AL",17581,2010
